{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1012010233, 'order': 1351629300, 'index_calculus_result': 1001422027, 'index_calculus_time': 2.7091586589813232, 'index_calculus_mem_mb': 0.6560440063476562}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 533547320, 'order': 1351629300, 'index_calculus_result': 1343124198, 'index_calculus_time': 2.709641695022583, 'index_calculus_mem_mb': 0.6447944641113281}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1291037638, 'order': 1351629300, 'index_calculus_result': 1214436760, 'index_calculus_time': 2.731297254562378, 'index_calculus_mem_mb': 0.6451835632324219}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2653741833, 'order': 1351629300, 'index_calculus_result': 92076908, 'index_calculus_time': 2.18770170211792, 'index_calculus_mem_mb': 0.6413154602050781}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1653128628, 'order': 1351629300, 'index_calculus_result': 98743673, 'index_calculus_time': 2.8266348838806152, 'index_calculus_mem_mb': 0.6449203491210938}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1048561594, 'order': 1351629300, 'index_calculus_result': 262819075, 'index_calculus_time': 2.5223846435546875, 'index_calculus_mem_mb': 0.6492195129394531}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2028315626, 'order': 1351629300, 'index_calculus_result': 461691223, 'index_calculus_time': 2.50112247467041, 'index_calculus_mem_mb': 0.6396026611328125}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 329214853, 'order': 1351629300, 'index_calculus_result': 259749982, 'index_calculus_time': 2.4362633228302, 'index_calculus_mem_mb': 0.6254539489746094}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1400513884, 'order': 1351629300, 'index_calculus_result': 1306069011, 'index_calculus_time': 2.192566394805908, 'index_calculus_mem_mb': 0.6281356811523438}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 521938676, 'order': 1351629300, 'index_calculus_result': 880691166, 'index_calculus_time': 2.150057315826416, 'index_calculus_mem_mb': 0.6251678466796875}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 903547238, 'order': 1351629300, 'index_calculus_result': 270023441, 'index_calculus_time': 2.3667781352996826, 'index_calculus_mem_mb': 0.6144599914550781}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2102333786, 'order': 1351629300, 'index_calculus_result': 1340170698, 'index_calculus_time': 3.2693943977355957, 'index_calculus_mem_mb': 0.6613693237304688}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 823125106, 'order': 1351629300, 'index_calculus_result': 184703244, 'index_calculus_time': 2.9552106857299805, 'index_calculus_mem_mb': 0.634368896484375}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2242235628, 'order': 1351629300, 'index_calculus_result': 366033646, 'index_calculus_time': 2.589488983154297, 'index_calculus_mem_mb': 0.6381149291992188}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1305781680, 'order': 1351629300, 'index_calculus_result': 1198692504, 'index_calculus_time': 2.500140905380249, 'index_calculus_mem_mb': 0.6252632141113281}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2450667401, 'order': 1351629300, 'index_calculus_result': 489447796, 'index_calculus_time': 2.326035976409912, 'index_calculus_mem_mb': 0.6516647338867188}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 828520710, 'order': 1351629300, 'index_calculus_result': 1074706335, 'index_calculus_time': 2.2778854370117188, 'index_calculus_mem_mb': 0.6357231140136719}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1420384835, 'order': 1351629300, 'index_calculus_result': 125158558, 'index_calculus_time': 2.567289113998413, 'index_calculus_mem_mb': 0.6460189819335938}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 746811621, 'order': 1351629300, 'index_calculus_result': 466721866, 'index_calculus_time': 2.5190815925598145, 'index_calculus_mem_mb': 0.6299972534179688}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2465806583, 'order': 1351629300, 'index_calculus_result': 1238808999, 'index_calculus_time': 1.9373047351837158, 'index_calculus_mem_mb': 0.6155586242675781}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1992809178, 'order': 1351629300, 'index_calculus_result': 80228969, 'index_calculus_time': 2.5512514114379883, 'index_calculus_mem_mb': 0.6377906799316406}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2700997237, 'order': 2703258600, 'index_calculus_result': 2600173282, 'index_calculus_time': 2.9882922172546387, 'index_calculus_mem_mb': 0.6477279663085938}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2581010677, 'order': 2703258600, 'index_calculus_result': 727760241, 'index_calculus_time': 2.266205310821533, 'index_calculus_mem_mb': 0.64154052734375}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 845998131, 'order': 2703258600, 'index_calculus_result': 165982898, 'index_calculus_time': 1.9084751605987549, 'index_calculus_mem_mb': 0.6310539245605469}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 393359312, 'order': 2703258600, 'index_calculus_result': 993759925, 'index_calculus_time': 3.1939775943756104, 'index_calculus_mem_mb': 0.6462364196777344}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 444846865, 'order': 2703258600, 'index_calculus_result': 1166986246, 'index_calculus_time': 2.2523744106292725, 'index_calculus_mem_mb': 0.6201896667480469}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 355382235, 'order': 2703258600, 'index_calculus_result': 1287612485, 'index_calculus_time': 2.0240302085876465, 'index_calculus_mem_mb': 0.6223220825195312}
