{'bit_size': 24, 'number': 8490551, 'qs_factor': 2371, 'qs_time': 0.0030558109283447266, 'qs_mem_mb': 0.0214385986328125, 'lenstra_factor': 2371, 'lenstra_time': 0.004056692123413086, 'lenstra_mem_mb': 0.0023927688598632812, 'hibrido_factor': 3581, 'hibrido_time': 0.22658944129943848, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 9008399, 'qs_factor': 2237, 'qs_time': 0.004458904266357422, 'qs_mem_mb': 0.0217742919921875, 'hibrido_factor': 4027, 'hibrido_time': 0.00562596321105957, 'hibrido_mem_mb': 0.001617431640625, 'lenstra_factor': 2237, 'lenstra_time': 0.008271932601928711, 'lenstra_mem_mb': 0.0023927688598632812}
{'bit_size': 24, 'number': 8231117, 'hibrido_factor': 2381, 'hibrido_time': 0.001603841781616211, 'hibrido_mem_mb': 0.001617431640625, 'lenstra_factor': 2381, 'lenstra_time': 0.00877070426940918, 'lenstra_mem_mb': 0.002384185791015625, 'qs_factor': 2381, 'qs_time': 0.03153562545776367, 'qs_mem_mb': 0.0217742919921875}
{'bit_size': 24, 'number': 8899547, 'hibrido_factor': 4007, 'hibrido_time': 0.005290508270263672, 'hibrido_mem_mb': 0.001617431640625, 'qs_factor': 2221, 'qs_time': 0.011757373809814453, 'qs_mem_mb': 0.0214385986328125, 'lenstra_factor': 4007, 'lenstra_time': 0.0263059139251709, 'lenstra_mem_mb': 0.0023927688598632812}
{'bit_size': 24, 'number': 8317481, 'lenstra_factor': 3413, 'lenstra_time': 0.0050199031829833984, 'lenstra_mem_mb': 0.0023927688598632812, 'qs_factor': 2437, 'qs_time': 0.0017011165618896484, 'qs_mem_mb': 0.02149200439453125, 'hibrido_factor': 2437, 'hibrido_time': 0.0026128292083740234, 'hibrido_mem_mb': 0.00079345703125}
{'bit_size': 24, 'number': 12123127, 'qs_factor': 3361, 'qs_time': 0.0021572113037109375, 'qs_mem_mb': 0.0233154296875, 'lenstra_factor': 3607, 'lenstra_time': 0.015641450881958008, 'lenstra_mem_mb': 0.0023937225341796875, 'hibrido_factor': 3361, 'hibrido_time': 0.010430097579956055, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 8277583, 'hibrido_factor': 3697, 'hibrido_time': 0.0015411376953125, 'hibrido_mem_mb': 0.001617431640625, 'lenstra_factor': 3697, 'lenstra_time': 0.010099411010742188, 'lenstra_mem_mb': 0.0023927688598632812, 'qs_factor': 2239, 'qs_time': 0.010192394256591797, 'qs_mem_mb': 0.0217437744140625}
{'bit_size': 24, 'number': 10339159, 'qs_factor': 3049, 'qs_time': 0.0023021697998046875, 'qs_mem_mb': 0.0214385986328125, 'lenstra_factor': 3049, 'lenstra_time': 0.004057884216308594, 'lenstra_mem_mb': 0.002384185791015625, 'hibrido_factor': 3391, 'hibrido_time': 0.01671123504638672, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 13840837, 'lenstra_factor': 3449, 'lenstra_time': 0.0009105205535888672, 'lenstra_mem_mb': 0.0023927688598632812, 'qs_factor': 3449, 'qs_time': 0.0018463134765625, 'qs_mem_mb': 0.0230255126953125, 'hibrido_factor': 4013, 'hibrido_time': 0.00658726692199707, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 13872499, 'qs_factor': 3529, 'qs_time': 0.0031931400299072266, 'qs_mem_mb': 0.023284912109375, 'lenstra_factor': 3529, 'lenstra_time': 0.0050966739654541016, 'lenstra_mem_mb': 0.0023937225341796875, 'hibrido_factor': 3529, 'hibrido_time': 0.006894826889038086, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 9541621, 'qs_factor': 2713, 'qs_time': 0.0022509098052978516, 'qs_mem_mb': 0.0214385986328125, 'lenstra_factor': 3517, 'lenstra_time': 0.0044825077056884766, 'lenstra_mem_mb': 0.0023927688598632812, 'hibrido_factor': 3517, 'hibrido_time': 0.06703853607177734, 'hibrido_mem_mb': 0.001617431640625}
