{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 146970801, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.4370718002319336, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2477926049, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.2873423099517822, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1028735461, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.1421666145324707, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2656939438, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.2260053157806396, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 961518652, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.7614114284515381, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1897406873, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.13470220565795898, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 318981655, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.8439071178436279, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1168307071, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.12105298042297363, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1135767220, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.0863285064697266, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2262636539, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.0116832256317139, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2044006605, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.1440272331237793, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1374225481, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.7084355354309082, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1347945949, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.6159389019012451, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1225845620, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.7453794479370117, 'pollard_rho_mem_mb': 0.000614166259765625}
